🏥  Medical Intake Question Bank — Indian Patients,,,,,,
Hackathon Task 3 · Prepared questions for common patient complaints · India-contextualised,,,,,,
#,Complaint Category,Question (English),Hindi / Hinglish Version,Question Type,Answer Options / Scale,Indian Context Note
38,Headache,Is the headache worse in the morning?,Subah uthne par dard zyada hota hai?,Yes/No,Yes / No,Worse AM → raised ICP / sinusitis
39,Headache,Do you have blocked or runny nose with headache?,Sar dard ke saath naak band rehti hai ya behti hai?,Yes/No,Yes / No,Sinusitis
  COUGH / RESPIRATORY,,,,,,
40,Cough,Since how long do you have cough?,Khansi kab se hai?,Duration,Days / Weeks / Months,Cough > 2 weeks → TB screen in India
41,Cough,Is the cough dry or with phlegm?,Khansi sukhi hai ya balgam aata hai?,Single choice,Dry / With phlegm,
42,Cough,What colour is the phlegm?,Balgam ka rang kaisa hai?,Single choice,White / Yellow / Green / Brown / Blood-tinged / Red,"Blood → hemoptysis, urgent"
43,Cough,Have you coughed up blood?,Khansi mein khoon aaya hai kabhi?,Yes/No,Yes / No,Red flag for TB / malignancy
44,Cough,Do you have breathlessness?,Saanss lene mein takleef hoti hai?,Yes/No + severity,At rest / On exertion / Climbing stairs / No,
45,Cough,Is there a whistling sound when you breathe?,Saanss lete waqt seeti jaisi awaaz aati hai?,Yes/No,Yes / No,Wheeze → Asthma / COPD
46,Cough,Do you have chest pain with cough?,Khansi ke saath seene mein dard hota hai?,Yes/No,Yes / No,Pleuritis / Pneumonia
47,Cough,Have you lost weight recently without trying?,Bina koshish ke wazan kam hua hai haal mein?,Yes/No,Yes / No,TB / Malignancy red flag
48,Cough,Does anyone at home have TB or prolonged cough?,Ghar mein kisi ko TB hai ya lambi khansi hai?,Yes/No,Yes / No,TB contact history — very relevant in India
49,Cough,Do you cook indoors on a wood/dung-cake stove?,Ghar mein chulhe par khana banate hain (lakdi/upla)?,Yes/No,Yes / No,Biomass smoke exposure — India-specific
  STOMACH / ABDOMINAL COMPLAINTS,,,,,,
50,Abdomen,Where is the stomach pain?,Pet mein dard kahan hota hai?,Single choice,Upper centre / Lower centre / Right side / Left side / Around navel / Whole abdomen,
51,Abdomen,Is the pain related to eating?,Khaane se dard ka koi sambandh hai?,Single choice,Better after eating / Worse after eating / No relation,Peptic ulcer vs. other causes
52,Abdomen,Do you have nausea or vomiting?,Ji machlaata hai ya ulti hoti hai?,Yes/No,Yes / No,
53,Abdomen,How many times did you vomit today?,Aaj kitni baar ulti hui?,Numeric,Number,
54,Abdomen,Do you have loose motions / diarrhoea?,Dast aa rahe hain?,Yes/No + frequency,Yes (how many times/day) / No,
55,Abdomen,Is there blood or mucus in the stool?,Potty mein khoon ya aaon aata hai?,Yes/No,Yes (which) / No,
56,Abdomen,Are you constipated?,Potty sahi se nahi hoti? (Qabz),Yes/No,Yes / No,Qabz is widely understood term
57,Abdomen,Have you eaten outside food / street food recently?,Haal mein bahar ka khaana khaya tha?,Yes/No,Yes / No,"Food poisoning, street food common in India"
58,Abdomen,Do you have heartburn / acidity?,Seene ya gale mein jalan hoti hai? (Acidity),Yes/No,Yes / No,Very common complaint in India
59,Abdomen,Has there been any yellow tinge to eyes or skin?,Aankhein ya skin peeli ho gayi hai?,Yes/No,Yes / No,Jaundice screen — hepatitis common
60,Abdomen,Do you have swelling in the abdomen?,Pet mein sujan / phoolna lagta hai?,Yes/No,Yes / No,Ascites / distension
  URINARY COMPLAINTS,,,,,,
61,Urinary,Do you have pain or burning during urination?,Peshab karte waqt dard ya jalan hoti hai?,Yes/No,Yes / No,"UTI — very common, esp. women"
62,Urinary,How frequently are you urinating?,Ek din mein kitni baar peshab aata hai?,Numeric,Times/day,
63,Urinary,Is there blood in the urine?,Peshab mein khoon aata hai?,Yes/No,Yes / No,Red flag
64,Urinary,Is there difficulty starting urination?,Peshab shuru karne mein takleef hoti hai?,Yes/No,Yes / No,BPH in elderly men
65,Urinary,Do you feel your bladder is not completely emptied?,Peshab ke baad bhi lagta hai ki pura nahi hua?,Yes/No,Yes / No,Retention / BPH
66,Urinary,Do you have back/flank pain with urinary symptoms?,Peshab ki takleef ke saath kamar ya peeth mein dard hai?,Yes/No,Yes / No,Pyelonephritis / renal calculi
67,Urinary,Are you diabetic? (Diabetes affects kidney and urine),Aapko sugar ki bimari hai?,Yes/No,Yes / No / Don't know,Diabetic nephropathy very common in India
  SKIN COMPLAINTS,,,,,,
68,Skin,Where is the skin problem on the body?,Shareer par problem kahan hai?,Body map,Body region,
69,Skin,Is there itching?,Khujli hoti hai?,Yes/No + severity,Yes (mild/severe) / No,
70,Skin,Is it spreading to other parts?,Kya yeh aaage phail raha hai?,Yes/No,Yes / No,
71,Skin,Are there blisters or open wounds?,Chhale hain ya ghav hai?,Yes/No,Yes / No,
72,Skin,"Did you use any new soap, cream or detergent recently?","Haal mein koi naya sabun, cream ya kapde dho ne ka powder use kiya?",Yes/No,Yes / No,Contact dermatitis common
73,Skin,Do others at home have the same skin problem?,Ghar mein kisi aur ko bhi aisi problem hai?,Yes/No,Yes / No,"Scabies — highly contagious, common in India"
74,Skin,Are there white patches on the skin?,Skin par safed dabbe hain?,Yes/No,Yes / No,Vitiligo / Leprosy screening — India-specific
75,Skin,Do you work in a field / construction / water for long hours?,"Khet, nirman kaam, ya paani mein ghante kaam karte hain?",Yes/No,Yes / No,Occupational skin disease
  WOMEN'S HEALTH (show only if patient is female),,,,,,
76,Women's Health,Are your periods regular?,Mahina (MC) sahi samay par aata hai?,Single choice,Regular / Irregular / Stopped (menopause),
77,Women's Health,Date of last menstrual period?,Aakhri mahine ki taareekh kya thi?,Date,DD/MM/YYYY,Essential for any female of reproductive age
78,Women's Health,Is there heavy bleeding during periods?,Mahine mein zyada khoon aata hai?,Yes/No,Yes / No,
79,Women's Health,Is there pain during periods?,Mahine mein bahut dard hota hai?,Yes/No + scale,Yes (0-10) / No,Dysmenorrhea
80,Women's Health,Is there any chance you could be pregnant?,Kya aap pregnant ho sakti hain?,Single choice,Yes / No / Not sure,Critical before any X-ray or medication
81,Women's Health,Do you have any unusual discharge?,Koi andar se safed ya ajeeb discharge aata hai?,Yes/No + description,Yes (colour/smell) / No,Vaginal infection screening
82,Women's Health,Have you had any pregnancies? Any complications?,Pehle pregnancy hui hai? Koi takleef?,Open,Number of pregnancies / Any issues,Obstetric history
  MENTAL HEALTH / EMOTIONAL WELLBEING (ask sensitively),,,,,,
83,Mental Health,How is your mood / mental state lately?,Aajkal aap kaisa feel karte hain andar se?,Open-ended,Free text,Avoid direct 'mental illness' label — stigma in India
84,Mental Health,Are you feeling very sad or hopeless?,Bahut udaas ya nirasha feel hoti hai?,Yes/No,Yes / No,Depression screen
85,Mental Health,Is there a lot of worry or tension in your mind?,Bahut zyada chinta ya tension rehti hai?,Yes/No + scale,Yes (0-10) / No,Anxiety
86,Mental Health,Has your sleep been affected?,Neend sahi aati hai?,Single choice,Yes-fine / Less / Too much / Very disturbed,
87,Mental Health,Is there stress at home or work?,Ghar ya kaam par bahut tension hai?,Yes/No,Yes / No,Psychosocial context important
88,Mental Health,Have you ever thought of harming yourself?,Kya kabhi aapne apne aap ko hurt karne ka socha?,Yes/No,Yes / No,Suicidal ideation — handle with extreme care
  PAEDIATRIC — ask PARENT or caregiver (for child patients),,,,,,
89,Paediatric,What is the child's age and weight?,Bachche ki umar aur wazan kitna hai?,Numeric,Years / Kg,
90,Paediatric,Is the child vaccinated as per schedule?,Bacche ke sabhi tike lage hue hain?,Single choice,Yes / Partial / No / Don't know,Immunisation status — critical in India
91,Paediatric,Is the child eating and drinking normally?,Bachcha khana-paani theek se le raha hai?,Yes/No,Yes / No,Dehydration risk
92,Paediatric,Has the child had loose motions or vomiting?,Bachche ko dast ya ulti ho rahi hai?,Yes/No + frequency,Yes (count) / No,
93,Paediatric,Is the child passing urine normally?,Bachcha peshab kar raha hai?,Yes/No,Yes / No,Hydration marker
94,Paediatric,Any convulsions / fits?,Bachche ko mirgi ke jhatke aaye hain?,Yes/No,Yes / No,Febrile seizure / epilepsy
95,Paediatric,Was the child born full-term and normally?,Bachcha poore mahine mein aur seedhe janma?,Yes/No,Yes / No / Premature,Neonatal history
96,Paediatric,Is the child going to school? Any developmental concerns?,Bachcha school jaata hai? Koi pichhadapan dikh raha hai?,Yes/No,Yes / No,Developmental screening
  ELDERLY PATIENTS (60+),,,,,,
97,Elderly,Do you have any falls recently?,Haal mein girne ki koi ghatna hui?,Yes/No,Yes / No,Fall risk assessment
98,Elderly,Do you forget things more than before?,Pehle se zyada bhulne lagey hain?,Yes/No + severity,Yes (mild/severe) / No,Dementia screen
99,Elderly,How many medicines do you take daily?,Roz kitni dawaiyan lete hain?,Numeric,Number,Polypharmacy common in elderly India
100,Elderly,Do you live alone or with family?,Akele rehte hain ya parivaar ke saath?,Single choice,Alone / With family / With caretaker,Social support assessment
